GENE.SET	NR.GENES	NR.SIG.GENES	P.VALUE
LEUKOCYTE MIGRATION%GOBP%GO:0050900	207	131	4.78636363636364e-07
BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	170	110	1.5375e-06
NABA_ECM_REGULATORS%MSIGDB_C2%NABA_ECM_REGULATORS	157	103	1.5375e-06
COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 65%1474290	72	55	1.8288e-06
CIRCULATORY SYSTEM DEVELOPMENT%GOBP%GO:0072359	349	200	4.77692307692308e-06
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.3	54	43	9.26666666666667e-06
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME DATABASE ID RELEASE 65%2022090	51	41	1.13785714285714e-05
CELLULAR PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043624	117	79	1.23206896551724e-05
CELL MIGRATION%GOBP%GO:0016477	490	266	1.992e-05
INTEGRIN CELL SURFACE INTERACTIONS%REACTOME%R-HSA-216083.2	60	45	9.49354838709677e-05
PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY	39	32	0.000133636363636364
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	39	32	0.000133636363636364
REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050727	179	109	0.000136852941176471
PID_UPA_UPAR_PATHWAY%MSIGDB_C2%PID_UPA_UPAR_PATHWAY	33	28	0.000169054054054054
UROKINASE-TYPE PLASMINOGEN ACTIVATOR (UPA) AND UPAR-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%UROKINASE-TYPE PLASMINOGEN ACTIVATOR (UPA) AND UPAR-MEDIATED SIGNALING	33	28	0.000169054054054054
IMMUNE SYSTEM DEVELOPMENT%GOBP%GO:0002520	267	153	0.000169054054054054
NABA_COLLAGENS%MSIGDB_C2%NABA_COLLAGENS	38	31	0.000219461538461538
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 65%8948216	38	31	0.000219461538461538
ANGIOGENESIS%GOBP%GO:0001525	127	81	0.00024075
NABA_ECM_GLYCOPROTEINS%MSIGDB_C2%NABA_ECM_GLYCOPROTEINS	150	93	0.000244285714285714
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDB_C2%HALLMARK_INFLAMMATORY_RESPONSE	183	110	0.000244285714285714
REGULATION OF CELL ADHESION%GOBP%GO:0030155	403	218	0.000303488372093023
IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME DATABASE ID RELEASE 65%198933	89	60	0.000374318181818182
REGULATION OF ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001936	92	61	0.000702
IN UTERO EMBRYONIC DEVELOPMENT%GOBP%GO:0001701	46	35	0.000757173913043478
TUBE DEVELOPMENT%GOBP%GO:0035295	308	170	0.000821489361702128
POSITIVE REGULATION OF CELL MOTILITY%GOBP%GO:2000147	331	181	0.000871875
POSITIVE REGULATION OF CELL MIGRATION%GOBP%GO:0030335	321	176	0.000929387755102041
CELL SURFACE INTERACTIONS AT THE VASCULAR WALL%REACTOME DATABASE ID RELEASE 65%202733	106	68	0.00101470588235294
REGULATION OF RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0032101	430	228	0.00101470588235294
HEMATOPOIETIC OR LYMPHOID ORGAN DEVELOPMENT%GOBP%GO:0048534	248	140	0.00106961538461538
CILIUM MOVEMENT%GOBP%GO:0003341	35	28	0.00114622641509434
TUBE MORPHOGENESIS%GOBP%GO:0035239	263	147	0.00127333333333333
TRANSLATION%GOBP%GO:0006412	294	162	0.00133527272727273
TRANSLATION%REACTOME DATABASE ID RELEASE 65%72766	286	158	0.00139178571428571
REGULATION OF VASCULATURE DEVELOPMENT%GOBP%GO:1901342	215	123	0.00147789473684211
POSITIVE REGULATION OF LOCOMOTION%GOBP%GO:0040017	351	189	0.00162931034482759
REGULATION OF COAGULATION%GOBP%GO:0050818	51	37	0.00208983050847458
SYNDECAN INTERACTIONS%REACTOME%R-HSA-3000170.2	20	18	0.002115
INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME DATABASE ID RELEASE 65%6785807	91	59	0.00213934426229508
POSITIVE REGULATION OF CELLULAR COMPONENT MOVEMENT%GOBP%GO:0051272	340	183	0.00217741935483871
HALLMARK_KRAS_SIGNALING_UP%MSIGDB_C2%HALLMARK_KRAS_SIGNALING_UP	181	105	0.0025875
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 65%72312	181	105	0.0025875
SMOOTH MUSCLE CONTRACTION%REACTOME%R-HSA-445355.2	28	23	0.00289384615384615
REGULATION OF BLOOD COAGULATION%GOBP%GO:0030193	50	36	0.00315671641791045
REGULATION OF HEMOSTASIS%GOBP%GO:1900046	50	36	0.00315671641791045
HEMOSTASIS%REACTOME DATABASE ID RELEASE 65%109582	482	249	0.00341470588235294
AXONEME ASSEMBLY%GOBP%GO:0035082	35	27	0.0043304347826087
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.2	173	100	0.0044125
BIOCARTA_THELPER_PATHWAY%MSIGDB_C2%BIOCARTA_THELPER_PATHWAY	12	12	0.0044125
BIOCARTA_TCYTOTOXIC_PATHWAY%MSIGDB_C2%BIOCARTA_TCYTOTOXIC_PATHWAY	12	12	0.0044125
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	76	50	0.00445068493150685
POSITIVE REGULATION OF VASCULATURE DEVELOPMENT%GOBP%GO:1904018	116	71	0.004572
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	93	59	0.004572
CELL CHEMOTAXIS%GOBP%GO:0060326	124	75	0.00490263157894737
HALLMARK_MYC_TARGETS_V2%MSIGDB_C2%HALLMARK_MYC_TARGETS_V2	58	40	0.0050025974025974
REGULATION OF ANGIOGENESIS%GOBP%GO:0045765	190	108	0.00532125
SKELETAL SYSTEM DEVELOPMENT%GOBP%GO:0001501	186	106	0.00532125
REGULATION OF ACUTE INFLAMMATORY RESPONSE%GOBP%GO:0002673	51	36	0.00532125
COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	24	20	0.00561111111111111
REGULATION OF CELL ACTIVATION%GOBP%GO:0050865	308	165	0.00593780487804878
REGULATION OF BONE REMODELING%GOBP%GO:0046850	21	18	0.00643012048192771
REGULATION OF TISSUE REMODELING%GOBP%GO:0034103	34	26	0.006525
PEPTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043043	315	168	0.00673411764705882
HEMOPOIESIS%GOBP%GO:0030097	230	127	0.00691744186046511
POSITIVE REGULATION OF ANGIOGENESIS%GOBP%GO:0045766	104	64	0.00738620689655172
ANATOMICAL STRUCTURE FORMATION INVOLVED IN MORPHOGENESIS%GOBP%GO:0048646	341	180	0.0076752808988764
POSITIVE REGULATION OF CELL PROLIFERATION%GOBP%GO:0008284	488	249	0.0076752808988764
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	59	40	0.00775384615384615
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	59	40	0.00775384615384615
PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY	72	47	0.00806086956521739
CELLULAR COMPONENT DISASSEMBLY%GOBP%GO:0022411	308	164	0.00836129032258064
LYMPHOCYTE ACTIVATION%GOBP%GO:0046649	174	99	0.00861157894736842
REGULATION OF PHOSPHOLIPASE ACTIVITY%GOBP%GO:0010517	52	36	0.00861157894736842
POSITIVE REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050729	63	42	0.00890625
PID_SYNDECAN_1_PATHWAY%MSIGDB_C2%PID_SYNDECAN_1_PATHWAY	45	32	0.00921340206185567
SPECIFICATION OF SYMMETRY%GOBP%GO:0009799	54	37	0.00945918367346939
INTEGRIN-MEDIATED SIGNALING PATHWAY%GOBP%GO:0007229	56	38	0.0104257425742574
PEPTIDE METABOLIC PROCESS%GOBP%GO:0006518	409	211	0.0104257425742574
RESPONSE TO WOUNDING%GOBP%GO:0009611	301	160	0.0104257425742574
REGULATION OF EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050678	177	100	0.0105882352941176
REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903034	88	55	0.0109223300970874
REGULATION OF LEUKOCYTE DIFFERENTIATION%GOBP%GO:1902105	141	82	0.01125
MACROPHAGE ACTIVATION%GOBP%GO:0042116	17	15	0.0114857142857143
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	94	58	0.0117169811320755
HALLMARK_MYC_TARGETS_V1%MSIGDB_C2%HALLMARK_MYC_TARGETS_V1	194	108	0.0121061946902655
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY%GOBP%GO:0032981	51	35	0.0121061946902655
MICROTUBULE BUNDLE FORMATION%GOBP%GO:0001578	51	35	0.0121061946902655
NADH DEHYDROGENASE COMPLEX ASSEMBLY%GOBP%GO:0010257	51	35	0.0121061946902655
PID_INTEGRIN_CS_PATHWAY%MSIGDB_C2%PID_INTEGRIN_CS_PATHWAY	25	20	0.0121061946902655
INTEGRIN FAMILY CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRIN FAMILY CELL SURFACE INTERACTIONS	25	20	0.0121061946902655
AXON GUIDANCE%REACTOME DATABASE ID RELEASE 65%422475	477	242	0.0121061946902655
HALLMARK_APICAL_JUNCTION%MSIGDB_C2%HALLMARK_APICAL_JUNCTION	182	102	0.0123947368421053
REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903037	180	101	0.0124434782608696
DETERMINATION OF BILATERAL SYMMETRY%GOBP%GO:0009855	53	36	0.0130344827586207
POSITIVE REGULATION OF PROTEIN KINASE B SIGNALING%GOBP%GO:0051897	116	69	0.0131538461538462
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.3	83	52	0.0131949152542373
NEGATIVE REGULATION OF RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0032102	148	85	0.0135378151260504
GASTRULATION%GOBP%GO:0007369	68	44	0.014025
HALLMARK_ALLOGRAFT_REJECTION%MSIGDB_C2%HALLMARK_ALLOGRAFT_REJECTION	183	102	0.0154710743801653
NABA_PROTEOGLYCANS%MSIGDB_C2%NABA_PROTEOGLYCANS	27	21	0.0155121951219512
COLLAGEN METABOLIC PROCESS%GOBP%GO:0032963	27	21	0.0155121951219512
NEGATIVE REGULATION OF CELL ADHESION%GOBP%GO:0007162	169	95	0.016272
CELLULAR RESPIRATION%GOBP%GO:0045333	103	62	0.016272
FORMATION OF PRIMARY GERM LAYER%GOBP%GO:0001704	61	40	0.017
REGULATION OF WOUND HEALING%GOBP%GO:0061041	78	49	0.0170787401574803
DETERMINATION OF LEFT/RIGHT SYMMETRY%GOBP%GO:0007368	50	34	0.0172265625
PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006612	121	71	0.0172325581395349
INFLAMMATORY RESPONSE%GOBP%GO:0006954	196	108	0.0173769230769231
REGULATION OF T CELL ACTIVATION%GOBP%GO:0050863	192	106	0.0177251908396947
PID_TXA2PATHWAY%MSIGDB_C2%PID_TXA2PATHWAY	52	35	0.0184632352941176
PID_INTEGRIN5_PATHWAY%MSIGDB_C2%PID_INTEGRIN5_PATHWAY	16	14	0.0184632352941176
BETA5 BETA6 BETA7 AND BETA8 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA5 BETA6 BETA7 AND BETA8 INTEGRIN CELL SURFACE INTERACTIONS	16	14	0.0184632352941176
KIDNEY VASCULATURE DEVELOPMENT%GOBP%GO:0061440	13	12	0.0184632352941176
RENAL SYSTEM VASCULATURE DEVELOPMENT%GOBP%GO:0061437	13	12	0.0184632352941176
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	164	92	0.0202992700729927
COMPLEX I BIOGENESIS%REACTOME DATABASE ID RELEASE 65%6799198	45	31	0.0209136690647482
POSITIVE REGULATION OF CELL ADHESION%GOBP%GO:0045785	226	122	0.0209136690647482
T CELL ACTIVATION%GOBP%GO:0042110	106	63	0.0213191489361702
ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	73	46	0.0213191489361702
SELENOAMINO ACID METABOLISM%REACTOME%R-HSA-2408522.2	110	65	0.0214225352112676
REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002694	285	150	0.0216503496503497
INFLUENZA INFECTION%REACTOME%R-HSA-168254.2	120	70	0.0216875
MONONUCLEAR CELL MIGRATION%GOBP%GO:0071674	31	23	0.0220965517241379
PID_INTEGRIN_A9B1_PATHWAY%MSIGDB_C2%PID_INTEGRIN_A9B1_PATHWAY	21	17	0.023265306122449
ALPHA9 BETA1 INTEGRIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA9 BETA1 INTEGRIN SIGNALING EVENTS	21	17	0.023265306122449
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 65%68962	26	20	0.0238378378378378
EMBRYO DEVELOPMENT%GOBP%GO:0009790	309	161	0.02394
HALLMARK_MYOGENESIS%MSIGDB_C2%HALLMARK_MYOGENESIS	169	94	0.02394
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	85	52	0.0242582781456954
ELASTIC FIBRE FORMATION%REACTOME%R-HSA-1566948.1	40	28	0.0244539473684211
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006614	87	53	0.0244705882352941
POSITIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001938	64	41	0.0245192307692308
EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 65%156842	89	54	0.0245192307692308
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	89	54	0.0245192307692308
INNER MITOCHONDRIAL MEMBRANE ORGANIZATION%GOBP%GO:0007007	33	24	0.0248354430379747
POSITIVE REGULATION OF PHOSPHOLIPASE C ACTIVITY%GOBP%GO:0010863	33	24	0.0248354430379747
HALLMARK_IL2_STAT5_SIGNALING%MSIGDB_C2%HALLMARK_IL2_STAT5_SIGNALING	190	104	0.0252
NEGATIVE REGULATION OF CELL ACTIVATION%GOBP%GO:0050866	95	57	0.0252
REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022407	240	128	0.0253229813664596
BIOCARTA_MONOCYTE_PATHWAY%MSIGDB_C2%BIOCARTA_MONOCYTE_PATHWAY	9	9	0.0254085365853659
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	68	43	0.0254085365853659
REGULATION OF LIPASE ACTIVITY%GOBP%GO:0060191	68	43	0.0254085365853659
POSITIVE REGULATION OF ERK1 AND ERK2 CASCADE%GOBP%GO:0070374	123	71	0.0260838323353293
OSTEOBLAST DIFFERENTIATION%GOBP%GO:0001649	70	44	0.0260838323353293
CHONDROITIN SULFATE BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 65%2022870	18	15	0.0260838323353293
MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120	35	25	0.0278035714285714
POSITIVE REGULATION OF PHOSPHOLIPASE ACTIVITY%GOBP%GO:0010518	44	30	0.0280650887573964
INFLAMMATION MEDIATED BY CHEMOKINE AND CYTOKINE SIGNALING PATHWAY%PANTHER PATHWAY%P00031	164	91	0.0289058823529412
CELL ADHESION MEDIATED BY INTEGRIN%GOBP%GO:0033627	15	13	0.030296511627907
INTEGRINS IN ANGIOGENESIS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRINS IN ANGIOGENESIS	59	38	0.030296511627907
GLOMERULUS VASCULATURE DEVELOPMENT%GOBP%GO:0072012	12	11	0.0315780346820809
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2	88	53	0.0319137931034483
MONOCYTE CHEMOTAXIS%GOBP%GO:0002548	30	22	0.0322159090909091
HEART DEVELOPMENT%GOBP%GO:0007507	208	112	0.0322159090909091
THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 65%1428517	136	77	0.0324406779661017
REGULATION OF OSSIFICATION%GOBP%GO:0030278	96	57	0.032814606741573
POSITIVE REGULATION OF EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050679	104	61	0.0334860335195531
THROMBOXANE A2 RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%THROMBOXANE A2 RECEPTOR SIGNALING	50	33	0.0347
NEGATIVE REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION%GOBP%GO:0032720	25	19	0.035456043956044
REGULATION OF PLATELET ACTIVATION%GOBP%GO:0010543	25	19	0.035456043956044
PROTEIN-CONTAINING COMPLEX DISASSEMBLY%GOBP%GO:0032984	194	105	0.0355081967213115
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	69	43	0.0355597826086956
IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002768	215	115	0.0361436170212766
NEGATIVE REGULATION OF LEUKOCYTE DIFFERENTIATION%GOBP%GO:1902106	52	34	0.0361436170212766
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	71	44	0.0361436170212766
AMIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043604	381	193	0.0361436170212766
RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.3	73	45	0.0364712041884817
DNA REPLICATION PRE-INITIATION%REACTOME DATABASE ID RELEASE 65%69002	73	45	0.0364712041884817
M G1 TRANSITION%REACTOME%R-HSA-68874.2	73	45	0.0364712041884817
PHOSPHOLIPASE C-ACTIVATING G-PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007200	54	35	0.0371658031088083
T CELL DIFFERENTIATION%GOBP%GO:0030217	54	35	0.0371658031088083
LEUKOCYTE DIFFERENTIATION%GOBP%GO:0002521	147	82	0.0374845360824742
REGULATION OF T CELL DIFFERENTIATION%GOBP%GO:0045580	77	47	0.0376153846153846
LEUKOCYTE CHEMOTAXIS%GOBP%GO:0030595	81	49	0.038984693877551
EXTRACELLULAR MATRIX DISASSEMBLY%GOBP%GO:0022617	43	29	0.0390454545454545
LYMPHOCYTE MIGRATION%GOBP%GO:0072676	43	29	0.0390454545454545
REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051249	243	128	0.0392110552763819
NEGATIVE REGULATION OF CELL MOTILITY%GOBP%GO:2000146	172	94	0.0396
NEGATIVE REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903556	27	20	0.0404108910891089
RESPONSE TO REACTIVE OXYGEN SPECIES%GOBP%GO:0000302	91	54	0.0404108910891089
INFLUENZA LIFE CYCLE%REACTOME DATABASE ID RELEASE 65%168255	111	64	0.0410926829268293
MYELOID LEUKOCYTE MIGRATION%GOBP%GO:0097529	60	38	0.0410926829268293
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME DATABASE ID RELEASE 65%168273	107	62	0.0410926829268293
HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	191	103	0.0416086956521739
REGULATION OF BONE RESORPTION%GOBP%GO:0045124	17	14	0.0416086956521739
NEGATIVE REGULATION OF LOCOMOTION%GOBP%GO:0040013	187	101	0.0428365384615385
REGULATION OF CELL JUNCTION ASSEMBLY%GOBP%GO:1901888	64	40	0.0430805687203791
REGULATION OF PHOSPHOLIPASE C ACTIVITY%GOBP%GO:1900274	36	25	0.0430805687203791
MESODERM FORMATION%GOBP%GO:0001707	22	17	0.0430805687203791
ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.3	47	31	0.0433018867924528
WOUND HEALING%GOBP%GO:0042060	263	137	0.0441588785046729
DISEASES OF GLYCOSYLATION%REACTOME DATABASE ID RELEASE 65%3781865	66	41	0.0441588785046729
BIOCARTA_LYM_PATHWAY%MSIGDB_C2%BIOCARTA_LYM_PATHWAY	8	8	0.0447926267281106
CROSS-PRESENTATION OF PARTICULATE EXOGENOUS ANTIGENS (PHAGOSOMES)%REACTOME DATABASE ID RELEASE 65%1236973	8	8	0.0447926267281106
REGULATION OF T-HELPER 2 CELL DIFFERENTIATION%GOBP%GO:0045628	8	8	0.0447926267281106
MOLECULES ASSOCIATED WITH ELASTIC FIBRES%REACTOME%R-HSA-2129379.1	29	21	0.0454128440366973
SPROUTING ANGIOGENESIS%GOBP%GO:0002040	38	26	0.0468493150684931
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	196	105	0.0474545454545455
CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002263	475	235	0.0480542986425339
POSITIVE REGULATION OF ACUTE INFLAMMATORY RESPONSE%GOBP%GO:0002675	14	12	0.0482432432432432
REGULATION OF EPITHELIAL CELL MIGRATION%GOBP%GO:0010632	165	90	0.0488340807174888
LEUKOCYTE ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002366	471	233	0.0493805309734513
NEGATIVE REGULATION OF CELL MIGRATION%GOBP%GO:0030336	163	89	0.0493805309734513
POSITIVE REGULATION OF ENDOTHELIAL CELL MIGRATION%GOBP%GO:0010595	82	49	0.0493805309734513
DNA REPLICATION%REACTOME DATABASE ID RELEASE 65%69306	114	65	0.05
INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	159	87	0.05
ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851	104	60	0.05
PLATELET DEGRANULATION%REACTOME%R-HSA-114608.3	102	59	0.05
PLATELET DEGRANULATION%GOBP%GO:0002576	100	58	0.05
PROTEIN TARGETING TO ER%GOBP%GO:0045047	96	56	0.05
REGULATION OF ENDOTHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:2000351	31	22	0.05
REGULATION OF VASCULAR SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:1904705	31	22	0.05
NEURON PROJECTION FASCICULATION%GOBP%GO:0106030	11	10	0.0503389830508475
AXONAL FASCICULATION%GOBP%GO:0007413	11	10	0.0503389830508475
NEGATIVE REGULATION OF CELLULAR COMPONENT MOVEMENT%GOBP%GO:0051271	180	97	0.0514285714285714
ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002460	57	36	0.0514285714285714
REGULATION OF ERK1 AND ERK2 CASCADE%GOBP%GO:0070372	178	96	0.0514814814814815
FLAGELLATED SPERM MOTILITY%GOBP%GO:0030317	19	15	0.0514814814814815
EMBRYONIC PLACENTA DEVELOPMENT%GOBP%GO:0001892	19	15	0.0514814814814815
CHONDROITIN SULFATE BIOSYNTHETIC PROCESS%GOBP%GO:0030206	19	15	0.0514814814814815
SPERM MOTILITY%GOBP%GO:0097722	19	15	0.0514814814814815
CHEMOTAXIS%GOBP%GO:0006935	286	147	0.053265306122449
TAXIS%GOBP%GO:0042330	286	147	0.053265306122449
CHORDATE EMBRYONIC DEVELOPMENT%GOBP%GO:0043009	141	78	0.053780487804878
O-GLYCOSYLATION OF TSR DOMAIN-CONTAINING PROTEINS%REACTOME%R-HSA-5173214.1	33	23	0.0542914979757085
EXTENSION OF TELOMERES%REACTOME DATABASE ID RELEASE 65%180786	26	19	0.0580645161290323
EMBRYONIC MORPHOGENESIS%GOBP%GO:0048598	208	110	0.0585542168674699
REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903555	69	42	0.05904
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 65%9010553	158	86	0.0598804780876494
REGULATION OF CELL-MATRIX ADHESION%GOBP%GO:0001952	75	45	0.0614285714285714
POSITIVE REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022409	154	84	0.061897233201581
NEGATIVE REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001818	152	83	0.0627165354330709
RESPONSE TO ELEVATED PLATELET CYTOSOLIC CA2+%REACTOME DATABASE ID RELEASE 65%76005	107	61	0.0628235294117647
POSITIVE REGULATION OF OSSIFICATION%GOBP%GO:0045778	50	32	0.0632432432432432
COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	93	54	0.0632432432432432
