GENE.SET	NR.GENES	NR.SIG.GENES	P.VALUE
COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 65%1474290	72	55	5.08e-09
CIRCULATORY SYSTEM DEVELOPMENT%GOBP%GO:0072359	349	200	1.38e-08
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.3	54	43	2.78e-08
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME DATABASE ID RELEASE 65%2022090	51	41	3.54e-08
CELLULAR PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043624	117	79	3.97e-08
CELL MIGRATION%GOBP%GO:0016477	490	266	6.64e-08
INTEGRIN CELL SURFACE INTERACTIONS%REACTOME%R-HSA-216083.2	60	45	3.27e-07
PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY	39	32	4.9e-07
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	39	32	4.9e-07
REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050727	179	109	5.17e-07
PID_UPA_UPAR_PATHWAY%MSIGDB_C2%PID_UPA_UPAR_PATHWAY	33	28	6.79e-07
UROKINASE-TYPE PLASMINOGEN ACTIVATOR (UPA) AND UPAR-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%UROKINASE-TYPE PLASMINOGEN ACTIVATOR (UPA) AND UPAR-MEDIATED SIGNALING	33	28	6.79e-07
IMMUNE SYSTEM DEVELOPMENT%GOBP%GO:0002520	267	153	6.95e-07
NABA_COLLAGENS%MSIGDB_C2%NABA_COLLAGENS	38	31	9.51e-07
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 65%8948216	38	31	9.51e-07
ANGIOGENESIS%GOBP%GO:0001525	127	81	1.07e-06
NABA_ECM_GLYCOPROTEINS%MSIGDB_C2%NABA_ECM_GLYCOPROTEINS	150	93	1.13e-06
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDB_C2%HALLMARK_INFLAMMATORY_RESPONSE	183	110	1.14e-06
REGULATION OF CELL ADHESION%GOBP%GO:0030155	403	218	1.45e-06
IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME DATABASE ID RELEASE 65%198933	89	60	1.83e-06
REGULATION OF ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001936	92	61	3.51e-06
IN UTERO EMBRYONIC DEVELOPMENT%GOBP%GO:0001701	46	35	3.87e-06
TUBE DEVELOPMENT%GOBP%GO:0035295	308	170	4.29e-06
POSITIVE REGULATION OF CELL MOTILITY%GOBP%GO:2000147	331	181	4.65e-06
POSITIVE REGULATION OF CELL MIGRATION%GOBP%GO:0030335	321	176	5.06e-06
CELL SURFACE INTERACTIONS AT THE VASCULAR WALL%REACTOME DATABASE ID RELEASE 65%202733	106	68	5.72e-06
REGULATION OF RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0032101	430	228	5.75e-06
HEMATOPOIETIC OR LYMPHOID ORGAN DEVELOPMENT%GOBP%GO:0048534	248	140	6.18e-06
CILIUM MOVEMENT%GOBP%GO:0003341	35	28	6.75e-06
TUBE MORPHOGENESIS%GOBP%GO:0035239	263	147	7.64e-06
TRANSLATION%GOBP%GO:0006412	294	162	8.16e-06
TRANSLATION%REACTOME DATABASE ID RELEASE 65%72766	286	158	8.66e-06
REGULATION OF VASCULATURE DEVELOPMENT%GOBP%GO:1901342	215	123	9.36e-06
POSITIVE REGULATION OF LOCOMOTION%GOBP%GO:0040017	351	189	1.05e-05
REGULATION OF COAGULATION%GOBP%GO:0050818	51	37	1.37e-05
SYNDECAN INTERACTIONS%REACTOME%R-HSA-3000170.2	20	18	1.41e-05
INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME DATABASE ID RELEASE 65%6785807	91	59	1.45e-05
POSITIVE REGULATION OF CELLULAR COMPONENT MOVEMENT%GOBP%GO:0051272	340	183	1.5e-05
HALLMARK_KRAS_SIGNALING_UP%MSIGDB_C2%HALLMARK_KRAS_SIGNALING_UP	181	105	1.84e-05
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 65%72312	181	105	1.84e-05
SMOOTH MUSCLE CONTRACTION%REACTOME%R-HSA-445355.2	28	23	2.09e-05
REGULATION OF BLOOD COAGULATION%GOBP%GO:0030193	50	36	2.35e-05
REGULATION OF HEMOSTASIS%GOBP%GO:1900046	50	36	2.35e-05
HEMOSTASIS%REACTOME DATABASE ID RELEASE 65%109582	482	249	2.58e-05
AXONEME ASSEMBLY%GOBP%GO:0035082	35	27	3.32e-05
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.2	173	100	3.52e-05
BIOCARTA_THELPER_PATHWAY%MSIGDB_C2%BIOCARTA_THELPER_PATHWAY	12	12	3.53e-05
BIOCARTA_TCYTOTOXIC_PATHWAY%MSIGDB_C2%BIOCARTA_TCYTOTOXIC_PATHWAY	12	12	3.53e-05
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	76	50	3.61e-05
POSITIVE REGULATION OF VASCULATURE DEVELOPMENT%GOBP%GO:1904018	116	71	3.79e-05
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	93	59	3.81e-05
CELL CHEMOTAXIS%GOBP%GO:0060326	124	75	4.14e-05
HALLMARK_MYC_TARGETS_V2%MSIGDB_C2%HALLMARK_MYC_TARGETS_V2	58	40	4.28e-05
REGULATION OF ANGIOGENESIS%GOBP%GO:0045765	190	108	4.65e-05
SKELETAL SYSTEM DEVELOPMENT%GOBP%GO:0001501	186	106	4.71e-05
REGULATION OF ACUTE INFLAMMATORY RESPONSE%GOBP%GO:0002673	51	36	4.73e-05
COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	24	20	5.05e-05
REGULATION OF CELL ACTIVATION%GOBP%GO:0050865	308	165	5.41e-05
REGULATION OF BONE REMODELING%GOBP%GO:0046850	21	18	5.93e-05
REGULATION OF TISSUE REMODELING%GOBP%GO:0034103	34	26	6.09e-05
PEPTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043043	315	168	6.36e-05
HEMOPOIESIS%GOBP%GO:0030097	230	127	6.61e-05
POSITIVE REGULATION OF ANGIOGENESIS%GOBP%GO:0045766	104	64	7.14e-05
ANATOMICAL STRUCTURE FORMATION INVOLVED IN MORPHOGENESIS%GOBP%GO:0048646	341	180	7.52e-05
POSITIVE REGULATION OF CELL PROLIFERATION%GOBP%GO:0008284	488	249	7.59e-05
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	59	40	7.84e-05
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	59	40	7.84e-05
PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY	72	47	8.24e-05
CELLULAR COMPONENT DISASSEMBLY%GOBP%GO:0022411	308	164	8.64e-05
LYMPHOCYTE ACTIVATION%GOBP%GO:0046649	174	99	9.01e-05
REGULATION OF PHOSPHOLIPASE ACTIVITY%GOBP%GO:0010517	52	36	9.09e-05
POSITIVE REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050729	63	42	9.5e-05
PID_SYNDECAN_1_PATHWAY%MSIGDB_C2%PID_SYNDECAN_1_PATHWAY	45	32	9.93e-05
SPECIFICATION OF SYMMETRY%GOBP%GO:0009799	54	37	0.000103
INTEGRIN-MEDIATED SIGNALING PATHWAY%GOBP%GO:0007229	56	38	0.000115
PEPTIDE METABOLIC PROCESS%GOBP%GO:0006518	409	211	0.000116
RESPONSE TO WOUNDING%GOBP%GO:0009611	301	160	0.000117
REGULATION OF EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050678	177	100	0.00012
REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903034	88	55	0.000125
REGULATION OF LEUKOCYTE DIFFERENTIATION%GOBP%GO:1902105	141	82	0.00013
MACROPHAGE ACTIVATION%GOBP%GO:0042116	17	15	0.000134
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	94	58	0.000138
HALLMARK_MYC_TARGETS_V1%MSIGDB_C2%HALLMARK_MYC_TARGETS_V1	194	108	0.000147
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY%GOBP%GO:0032981	51	35	0.00015
MICROTUBULE BUNDLE FORMATION%GOBP%GO:0001578	51	35	0.00015
NADH DEHYDROGENASE COMPLEX ASSEMBLY%GOBP%GO:0010257	51	35	0.00015
PID_INTEGRIN_CS_PATHWAY%MSIGDB_C2%PID_INTEGRIN_CS_PATHWAY	25	20	0.000151
INTEGRIN FAMILY CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRIN FAMILY CELL SURFACE INTERACTIONS	25	20	0.000151
AXON GUIDANCE%REACTOME DATABASE ID RELEASE 65%422475	477	242	0.000152
HALLMARK_APICAL_JUNCTION%MSIGDB_C2%HALLMARK_APICAL_JUNCTION	182	102	0.000157
REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903037	180	101	0.000159
DETERMINATION OF BILATERAL SYMMETRY%GOBP%GO:0009855	53	36	0.000168
POSITIVE REGULATION OF PROTEIN KINASE B SIGNALING%GOBP%GO:0051897	116	69	0.000171
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.3	83	52	0.000173
NEGATIVE REGULATION OF RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0032102	148	85	0.000179
GASTRULATION%GOBP%GO:0007369	68	44	0.000187
HALLMARK_ALLOGRAFT_REJECTION%MSIGDB_C2%HALLMARK_ALLOGRAFT_REJECTION	183	102	0.000208
NABA_PROTEOGLYCANS%MSIGDB_C2%NABA_PROTEOGLYCANS	27	21	0.000212
COLLAGEN METABOLIC PROCESS%GOBP%GO:0032963	27	21	0.000212
NEGATIVE REGULATION OF CELL ADHESION%GOBP%GO:0007162	169	95	0.000225
CELLULAR RESPIRATION%GOBP%GO:0045333	103	62	0.000226
FORMATION OF PRIMARY GERM LAYER%GOBP%GO:0001704	61	40	0.000238
REGULATION OF WOUND HEALING%GOBP%GO:0061041	78	49	0.000241
DETERMINATION OF LEFT/RIGHT SYMMETRY%GOBP%GO:0007368	50	34	0.000245
PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006612	121	71	0.000247
INFLAMMATORY RESPONSE%GOBP%GO:0006954	196	108	0.000251
REGULATION OF T CELL ACTIVATION%GOBP%GO:0050863	192	106	0.000258
PID_TXA2PATHWAY%MSIGDB_C2%PID_TXA2PATHWAY	52	35	0.000271
PID_INTEGRIN5_PATHWAY%MSIGDB_C2%PID_INTEGRIN5_PATHWAY	16	14	0.000279
BETA5 BETA6 BETA7 AND BETA8 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA5 BETA6 BETA7 AND BETA8 INTEGRIN CELL SURFACE INTERACTIONS	16	14	0.000279
KIDNEY VASCULATURE DEVELOPMENT%GOBP%GO:0061440	13	12	0.000279
RENAL SYSTEM VASCULATURE DEVELOPMENT%GOBP%GO:0061437	13	12	0.000279
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.3	164	92	0.000309
COMPLEX I BIOGENESIS%REACTOME DATABASE ID RELEASE 65%6799198	45	31	0.000321
POSITIVE REGULATION OF CELL ADHESION%GOBP%GO:0045785	226	122	0.000323
T CELL ACTIVATION%GOBP%GO:0042110	106	63	0.000332
ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	73	46	0.000334
SELENOAMINO ACID METABOLISM%REACTOME%R-HSA-2408522.2	110	65	0.000338
REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002694	285	150	0.000344
INFLUENZA INFECTION%REACTOME%R-HSA-168254.2	120	70	0.000347
MONONUCLEAR CELL MIGRATION%GOBP%GO:0071674	31	23	0.000356
PID_INTEGRIN_A9B1_PATHWAY%MSIGDB_C2%PID_INTEGRIN_A9B1_PATHWAY	21	17	0.00038
ALPHA9 BETA1 INTEGRIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA9 BETA1 INTEGRIN SIGNALING EVENTS	21	17	0.00038
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 65%68962	26	20	0.000392
EMBRYO DEVELOPMENT%GOBP%GO:0009790	309	161	0.000398
HALLMARK_MYOGENESIS%MSIGDB_C2%HALLMARK_MYOGENESIS	169	94	0.000399
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	85	52	0.000407
ELASTIC FIBRE FORMATION%REACTOME%R-HSA-1566948.1	40	28	0.000413
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006614	87	53	0.000416
POSITIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001938	64	41	0.00042
EUKARYOTIC TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 65%156842	89	54	0.000425
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	89	54	0.000425
INNER MITOCHONDRIAL MEMBRANE ORGANIZATION%GOBP%GO:0007007	33	24	0.000436
POSITIVE REGULATION OF PHOSPHOLIPASE C ACTIVITY%GOBP%GO:0010863	33	24	0.000436
HALLMARK_IL2_STAT5_SIGNALING%MSIGDB_C2%HALLMARK_IL2_STAT5_SIGNALING	190	104	0.000448
NEGATIVE REGULATION OF CELL ACTIVATION%GOBP%GO:0050866	95	57	0.000448
REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022407	240	128	0.000453
BIOCARTA_MONOCYTE_PATHWAY%MSIGDB_C2%BIOCARTA_MONOCYTE_PATHWAY	9	9	0.000458
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	68	43	0.000463
REGULATION OF LIPASE ACTIVITY%GOBP%GO:0060191	68	43	0.000463
POSITIVE REGULATION OF ERK1 AND ERK2 CASCADE%GOBP%GO:0070374	123	71	0.000482
OSTEOBLAST DIFFERENTIATION%GOBP%GO:0001649	70	44	0.000484
CHONDROITIN SULFATE BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 65%2022870	18	15	0.000484
MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120	35	25	0.000519
POSITIVE REGULATION OF PHOSPHOLIPASE ACTIVITY%GOBP%GO:0010518	44	30	0.000527
INFLAMMATION MEDIATED BY CHEMOKINE AND CYTOKINE SIGNALING PATHWAY%PANTHER PATHWAY%P00031	164	91	0.000546
CELL ADHESION MEDIATED BY INTEGRIN%GOBP%GO:0033627	15	13	0.000578
INTEGRINS IN ANGIOGENESIS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRINS IN ANGIOGENESIS	59	38	0.000579
GLOMERULUS VASCULATURE DEVELOPMENT%GOBP%GO:0072012	12	11	0.000607
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2	88	53	0.000617
MONOCYTE CHEMOTAXIS%GOBP%GO:0002548	30	22	0.000629
HEART DEVELOPMENT%GOBP%GO:0007507	208	112	0.00063
THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 65%1428517	136	77	0.000638
REGULATION OF OSSIFICATION%GOBP%GO:0030278	96	57	0.000649
POSITIVE REGULATION OF EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050679	104	61	0.000666
THROMBOXANE A2 RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%THROMBOXANE A2 RECEPTOR SIGNALING	50	33	0.000694
NEGATIVE REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION%GOBP%GO:0032720	25	19	0.000717
REGULATION OF PLATELET ACTIVATION%GOBP%GO:0010543	25	19	0.000717
PROTEIN-CONTAINING COMPLEX DISASSEMBLY%GOBP%GO:0032984	194	105	0.000722
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	69	43	0.000727
IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002768	215	115	0.000747
NEGATIVE REGULATION OF LEUKOCYTE DIFFERENTIATION%GOBP%GO:1902106	52	34	0.000747
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	71	44	0.000751
AMIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043604	381	193	0.000755
RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.3	73	45	0.000774
DNA REPLICATION PRE-INITIATION%REACTOME DATABASE ID RELEASE 65%69002	73	45	0.000774
M G1 TRANSITION%REACTOME%R-HSA-68874.2	73	45	0.000774
PHOSPHOLIPASE C-ACTIVATING G-PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007200	54	35	0.000797
T CELL DIFFERENTIATION%GOBP%GO:0030217	54	35	0.000797
LEUKOCYTE DIFFERENTIATION%GOBP%GO:0002521	147	82	0.000808
REGULATION OF T CELL DIFFERENTIATION%GOBP%GO:0045580	77	47	0.000815
LEUKOCYTE CHEMOTAXIS%GOBP%GO:0030595	81	49	0.000849
EXTRACELLULAR MATRIX DISASSEMBLY%GOBP%GO:0022617	43	29	0.000859
LYMPHOCYTE MIGRATION%GOBP%GO:0072676	43	29	0.000859
REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051249	243	128	0.000867
NEGATIVE REGULATION OF CELL MOTILITY%GOBP%GO:2000146	172	94	0.00088
NEGATIVE REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903556	27	20	0.000906
RESPONSE TO REACTIVE OXYGEN SPECIES%GOBP%GO:0000302	91	54	0.000907
INFLUENZA LIFE CYCLE%REACTOME DATABASE ID RELEASE 65%168255	111	64	0.000933
MYELOID LEUKOCYTE MIGRATION%GOBP%GO:0097529	60	38	0.000935
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME DATABASE ID RELEASE 65%168273	107	62	0.000936
HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	191	103	0.000953
REGULATION OF BONE RESORPTION%GOBP%GO:0045124	17	14	0.000957
NEGATIVE REGULATION OF LOCOMOTION%GOBP%GO:0040013	187	101	0.00099
REGULATION OF CELL JUNCTION ASSEMBLY%GOBP%GO:1901888	64	40	0.00101
REGULATION OF PHOSPHOLIPASE C ACTIVITY%GOBP%GO:1900274	36	25	0.00101
MESODERM FORMATION%GOBP%GO:0001707	22	17	0.00101
ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.3	47	31	0.00102
WOUND HEALING%GOBP%GO:0042060	263	137	0.00105
DISEASES OF GLYCOSYLATION%REACTOME DATABASE ID RELEASE 65%3781865	66	41	0.00105
BIOCARTA_LYM_PATHWAY%MSIGDB_C2%BIOCARTA_LYM_PATHWAY	8	8	0.00108
CROSS-PRESENTATION OF PARTICULATE EXOGENOUS ANTIGENS (PHAGOSOMES)%REACTOME DATABASE ID RELEASE 65%1236973	8	8	0.00108
REGULATION OF T-HELPER 2 CELL DIFFERENTIATION%GOBP%GO:0045628	8	8	0.00108
MOLECULES ASSOCIATED WITH ELASTIC FIBRES%REACTOME%R-HSA-2129379.1	29	21	0.0011
SPROUTING ANGIOGENESIS%GOBP%GO:0002040	38	26	0.00114
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	196	105	0.00116
CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002263	475	235	0.00118
POSITIVE REGULATION OF ACUTE INFLAMMATORY RESPONSE%GOBP%GO:0002675	14	12	0.00119
REGULATION OF EPITHELIAL CELL MIGRATION%GOBP%GO:0010632	165	90	0.00121
LEUKOCYTE ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002366	471	233	0.00124
NEGATIVE REGULATION OF CELL MIGRATION%GOBP%GO:0030336	163	89	0.00124
POSITIVE REGULATION OF ENDOTHELIAL CELL MIGRATION%GOBP%GO:0010595	82	49	0.00124
DNA REPLICATION%REACTOME DATABASE ID RELEASE 65%69306	114	65	0.00127
INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	159	87	0.00128
ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851	104	60	0.0013
PLATELET DEGRANULATION%REACTOME%R-HSA-114608.3	102	59	0.0013
PLATELET DEGRANULATION%GOBP%GO:0002576	100	58	0.0013
PROTEIN TARGETING TO ER%GOBP%GO:0045047	96	56	0.0013
REGULATION OF ENDOTHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:2000351	31	22	0.0013
REGULATION OF VASCULAR SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:1904705	31	22	0.0013
NEURON PROJECTION FASCICULATION%GOBP%GO:0106030	11	10	0.00132
AXONAL FASCICULATION%GOBP%GO:0007413	11	10	0.00132
NEGATIVE REGULATION OF CELLULAR COMPONENT MOVEMENT%GOBP%GO:0051271	180	97	0.00136
ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002460	57	36	0.00136
REGULATION OF ERK1 AND ERK2 CASCADE%GOBP%GO:0070372	178	96	0.00139
FLAGELLATED SPERM MOTILITY%GOBP%GO:0030317	19	15	0.00139
EMBRYONIC PLACENTA DEVELOPMENT%GOBP%GO:0001892	19	15	0.00139
CHONDROITIN SULFATE BIOSYNTHETIC PROCESS%GOBP%GO:0030206	19	15	0.00139
SPERM MOTILITY%GOBP%GO:0097722	19	15	0.00139
CHEMOTAXIS%GOBP%GO:0006935	286	147	0.00145
TAXIS%GOBP%GO:0042330	286	147	0.00145
CHORDATE EMBRYONIC DEVELOPMENT%GOBP%GO:0043009	141	78	0.00147
O-GLYCOSYLATION OF TSR DOMAIN-CONTAINING PROTEINS%REACTOME%R-HSA-5173214.1	33	23	0.00149
EXTENSION OF TELOMERES%REACTOME DATABASE ID RELEASE 65%180786	26	19	0.0016
EMBRYONIC MORPHOGENESIS%GOBP%GO:0048598	208	110	0.00162
REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903555	69	42	0.00164
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 65%9010553	158	86	0.00167
REGULATION OF CELL-MATRIX ADHESION%GOBP%GO:0001952	75	45	0.00172
POSITIVE REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022409	154	84	0.00174
NEGATIVE REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001818	152	83	0.00177
RESPONSE TO ELEVATED PLATELET CYTOSOLIC CA2+%REACTOME DATABASE ID RELEASE 65%76005	107	61	0.00178
POSITIVE REGULATION OF OSSIFICATION%GOBP%GO:0045778	50	32	0.00181
COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	93	54	0.00182
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 65%975956	91	53	0.00182
REGULATION OF LYMPHOCYTE DIFFERENTIATION%GOBP%GO:0045619	91	53	0.00182
REGULATION OF MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS%GOBP%GO:0051043	21	16	0.00185
SYNDECAN-1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-1-MEDIATED SIGNALING EVENTS	37	25	0.00187
ARTERY DEVELOPMENT%GOBP%GO:0060840	37	25	0.00187
POSITIVE REGULATION OF T-HELPER CELL DIFFERENTIATION%GOBP%GO:0045624	16	13	0.00187
IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002429	194	103	0.00189
POSITIVE REGULATION OF RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0032103	169	91	0.00194
REGULATION OF SPROUTING ANGIOGENESIS%GOBP%GO:1903670	54	34	0.00198
ESTABLISHMENT OF PROTEIN LOCALIZATION TO MEMBRANE%GOBP%GO:0090150	184	98	0.00211
POSITIVE REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050778	416	206	0.00217
