Prey,UniProt,HEKScore,JurkatScore
EIF3L,Q9Y262,0.778,0.764
EIF3H,O15372,0.735,0.804
FNIP1,Q8TF40,0.733,0.78
ARRB2,P32121,0.723,0.783
DIAPH1,O60610,0.693,0.799
FLCN,Q8NFG4,0.708,0.767
EIF3B,P55884,0.758,0.669
NFU1,Q9UMS0,0.813,0.603
POLE4,Q9NR33,0.757,0.647
EIF3F,O00303,0.757,0.597
EIF3M,Q7L2H7,0.794,0.446
IFT122,Q9HBG6,0,0.905
ARHGEF12,Q9NZN5,0.889,0
DOHH,Q9BU89,0.882,0
EPPK1,P58107,0.858,0
TRPS1,Q9UHF7,0.853,0
VBP1,P61758,0.835,0
FOXC1,Q12948,0.833,0
ALMS1,Q8TCU4,0.815,0
OSBPL6,Q9BZF3,0.812,0
MCM4,P33991,0,0.801
SARS,P49591,0.8,0
CARM1,Q86X55,0,0.8
SMG6,Q86US8,0,0.801
PUM2,Q8TB72,0.799,0
ANAPC1,Q9H1A4,0.797,0
MSH2,P43246,0.795,0
PARP4,Q9UKK3,0.785,0
AKAP9,Q99996,0,0.787
DOK1,Q99704,0,0.782
MCL1,Q07820,0.78,0
FLAD1,Q8NFF5,0.78,0
AHCY,P23526,0.77,0
BICD2,Q8TD16,0,0.771
FKBP4,Q02790,0.767,0
GAK,O14976,0.76,0
NFAT5,O94916,0.761,0
EML3,Q32P44,0.752,0
GRB2,P62993,0.861,0.776
SLC9A3R1,O14745,0,0.775
KIAA1429,Q69YN4,0.77,0
CKMT1A; CKMT1B,P12532,0.873,0
UNC45A,Q9H3U1,0.851,0
PLOD1,Q02809,0.827,0
FAM96B,Q9Y3D0,0.824,0
CAND2,O75155,0.823,0
UBA1,P22314,0.818,0
HDDC2,Q7Z4H3,0.815,0
TYSND1,Q2T9J0,0.81,0
WDR61,Q9GZS3,0.8,0
PSIP1,O75475,0,0.797
PLAA,Q9Y263,0.773,0
HEATR1,Q9H583,0.77,0
SUCLA2,Q9P2R7,0.768,0
PDIA4,P13667,0.766,0
RANBP6,O60518,0.763,0
YWHAE,P62258,0.764,0
CIAO1,O76071,0.765,0
YWHAB,P31946,0.762,0
MCM6,Q14566,0.759,0
SLC30A7,Q8NEW0,0.758,0
IPO4,Q8TEX9,0.756,0
PLOD2,O00469,0.754,0
YWHAZ,P63104,0.755,0
YWHAG,P61981,0.753,0
DSP,P15924,0.751,0
TCEB1,Q15369,0.956,0.972
CBFB,Q13951,0.916,0.975
TCEB2,Q15370,0.96,0.928
RNF7,Q9UBF6,0.858,0.952
AMBRA1,Q9C0C7,0.832,0.915
CUL5,Q93034,0.855,0.889
CUL2,Q13617,0.776,0.897
DNAJC7,Q99615,0.899,0.488
SQSTM1,Q13501,0.79,0.49
HUWE1,Q7Z6Z7,0.934,0.324
UBR2,Q8IWV8,0.911,0
STUB1,Q9UNE7,0.876,0
PSME3,P61289,0.842,0
NCOR1,O75376,0,0.821
HDAC3,O15379,0,0.817
MAGED1,Q9Y5V3,0,0.808
TBL1XR1,Q9BZK7,0,0.793
DCAF11,Q8TEB1,0,0.791
AKAP8L,Q9ULX6,0.788,0
BAG6,P46379,0.782,0
GPS2,Q13227,0,0.778
DNAJB2,P25686,0,0.774
MAPK6,Q16659,0,0.772
UBL4A,P11441,0.766,0
VPRBP,Q9Y4B6,0.958,0.884
DDA1,Q9BW61,0.818,0.909
DYNC1H1,Q14204,0.899,0.818
RBBP7,Q16576,0.876,0.808
ANKHD1,Q8IWZ3,0.885,0.765
DDB1,Q16531,0.851,0.789
GOLPH3,Q9H4A6,0.926,0.708
DYNC1I2,Q13409,0.838,0.792
DYNC1LI1,Q9Y6G9,0.825,0.802
ANKRD17,O75179,0.742,0.879
CEP170,Q5SW79,0.788,0.777
HAT1,O14929,0.906,0.6
COMT,P21964,0.775,0.244
MATR3,P43243,0.933,0
MOGS,Q13724,0.884,0
ANKRD13A,Q8IZ07,0,0.858
NDUFS8,O00217,0.855,0
SMN1; SMN2,Q16637,0,0.847
DPY19L1,Q2PZI1,0.845,0
GEMIN6,Q8WXD5,0,0.845
AGPS,O00116,0.841,0
WDR42A,Q5TAQ9,0,0.842
COPS4,Q9BT78,0,0.842
COPS6,Q7L5N1,0,0.838
COPS3,Q9UNS2,0,0.829
SIP1,O14893,0,0.823
DCAF11,Q8TEB1,0.794,0.027
COPS2,P61201,0,0.822
MTCH2,Q9Y6C9,0.816,0
COPS8,Q99627,0,0.809
GPS1,Q13098,0,0.809
CUL4A,Q13619,0,0.805
ACBD5,Q5T8D3,0.803,0
DPY19L3,Q6ZPD9,0.792,0
ABCD3,P28288,0.782,0
DDX20,Q9UHI6,0,0.778
CCDC47,Q96A33,0.779,0
PSME3,P61289,0,0.776
TMEM11,P17152,0.767,0
GEMIN4,P57678,0,0.767
NEDD4L,Q96PU5,0.768,0
UNG,P13051,0,0.766
GEMIN7,Q9H840,0,0.761
TULP3,O75386,0,0.762
ABCB10,Q9NRK6,0.753,0
COPS5,Q92905,0,0.751
TMEM160,Q9NX00,0.752,0
LRPPRC,P42704,0.975,0.915
C14orf156,Q9GZT3,0.969,0.877
FBXW11,Q9UKB1,0.947,0.852
SCAMP3,O14828,0.949,0.834
HADHA,P40939,0.913,0.841
IPO9,Q96P70,0.902,0.814
ATAD3A,Q9NVI7,0.874,0.841
CUL1,Q13616,0.839,0.873
SKP1,P63208,0.848,0.847
TMEM55B,Q86T03,0.881,0.802
CYB5R1,Q9UHQ9,0.818,0.862
HADHB,P55084,0.804,0.861
RTN3,O95197,0.785,0.863
RTN4,Q9NQC3,0.809,0.819
ATXN10,Q9UBB4,0.815,0.8
BTRC,Q9Y297,0.9,0.7
ATP5J,P18859,0.815,0.776
ATAD3B,Q5T9A4,0.785,0.78
ATP5F1,P24539,0.74,0.824
XPO1,O14980,0.813,0.717
LASS2,Q96G23,0.727,0.757
TBC1D15,Q8TC07,0.688,0.775
PRKDC,P78527,0.658,0.785
ATP5O,P48047,0.572,0.862
ATP5H,O75947,0.559,0.802
TBRG4,Q969Z0,0.863,0.488
RANBP1,P43487,0.766,0.574
ARFGEF1,Q9Y6D6,0.816,0.452
NEDD8,Q15843,0.763,0.417
ATP5B,P06576,0.375,0.784
NCAPD3,P42695,0.165,0.78
ACSL3,O95573,0.821,0.058
ATP2B1,P20020,0.852,0
HSD17B12,Q53GQ0,0.825,0
ARFGEF2,Q9Y6D5,0.812,0
TMEM192,Q8IY95,0.804,0
CNTNAP1,P78357,0.796,0
ATP5D,P30049,0,0.79
RHOV,Q99653,0,0.788
SGPL1,O95470,0.785,0
GIMAP5,Q96F15,0,0.781
PTGES3,Q15185,0,0.777
MSN,P26038,0,0.779
XPO5,Q9HAV4,0.776,0
ICAM2,P13598,0,0.774
RNF213,Q63HN8,0,0.774
EDC4,Q6P2E9,0,0.771
SLC27A4,Q6P1M0,0.772,0
DAGLB,Q8NCG7,0.766,0
PREB,Q9HCU5,0.767,0
PPP2R5E,Q16537,0.764,0
CEP57,Q86XR8,0,0.762
RANBP2,P49792,0.751,0
XPO4,Q9C0E2,0.752,0
CCNT1,O60563,0.909,0.867
CDK9,P50750,0.851,0.908
AFF4,Q9UHB7,0.83,0.884
AHCYL1,O43865,0.791,0.876
MEPCE,Q7L2J0,0.692,0.857
AHCYL2,Q96HN2,0.797,0.74
LARP7,Q4G0J3,0.54,0.915
SIRT1,Q96EB6,0.879,0.378
NAP1L4,Q99733,0.352,0.756
NPM3,O75607,0.242,0.847
ZFP91,Q96JP5,0.92,0
AFF1,P51825,0,0.908
PPM1G,O15355,0.884,0
DCAF16,Q9NXF7,0.838,0
FBN2,P35556,0.838,0
USP11,P51784,0.825,0
FAM98A,Q8NCA5,0.811,0
ZNF579,Q8NAF0,0.808,0
FBXO3,Q9UK99,0.789,0
UBE2O,Q9C0C9,0.764,0
HNRNPH3,P31942,0.764,0
MLLT1,Q03111,0.759,0
SRRM2,Q9UQ35,0.761,0
TMED9,Q9BVK6,0.861,0.677
TMED10,P49755,0.868,0.46
MRPS9,P82933,0.404,0.772
SSBP1,Q04837,0.76,0.325
MRPS28,Q9Y2Q9,0.326,0.759
TMED4,Q7Z7H5,0.892,0
IK,Q13123,0.851,0
MRPL42,Q9Y6G3,0.841,0
CHCHD1,Q96BP2,0.821,0
SPATS2,Q86XZ4,0.81,0
MITD1,Q8WV92,0,0.795
KIF21B,O75037,0,0.782
MPG,P29372,0.773,0
MRS2,Q9HD23,0.771,0
SMU1,Q2TAY7,0.763,0
GPATCH4,Q5T3I0,0.764,0
ACOT8,O14734,0.956,0.832
NMT1,P30419,0.874,0.891
MTHFD2,P13995,0.791,0.228
ERGIC1,Q969X5,0,0.778
EXOC4,Q96A65,0,0.769
CDKN2A,P42771,0.768,0
SDHA,P31040,0.765,0
MTCH1,Q9NZJ7,0.752,0
GANAB,Q14697,0.947,0.971
DNAJB11,Q9UBS4,0.931,0.968
ERLEC1,Q96DZ1,0.854,0.971
LMAN1,P49257,0.895,0.916
SDF2L1,Q9HCN8,0.889,0.911
SEL1L,Q9UBV2,0.818,0.955
PRKCSH,P14314,0.922,0.841
SDF2,Q99470,0.829,0.931
CALR,P27797,0.915,0.819
CKAP4,Q07065,0.812,0.919
SUN1,O94901,0.808,0.825
UGGT1,Q9NYU2,0.651,0.979
ITM2B,Q9Y287,0.774,0.831
CANX,P27824,0.861,0.667
VDAC2,P45880,0.775,0.69
PSMA1,P25786,0.755,0.705
PHB,P35232,0.579,0.758
COX4I1,P13073,0.87,0.445
RPN1,P04843,0.309,0.866
ATP2A2,P16615,0.346,0.813
P4HB,P07237,0.939,0.151
PGRMC1,O00264,0.173,0.831
PON2,Q15165,0.932,0
OS9,Q13438,0,0.915
ATL3,Q6DD88,0,0.911
SEH1L,Q96EE3,0,0.895
CHAF1B,Q13112,0,0.896
DSC3,Q14574,0.863,0
ACBD3,Q9H3P7,0,0.862
PDIA3,P30101,0,0.862
SSR4,P51571,0.091,0.769
TRBC1,P01850,0,0.861
APP,P05067,0.85,0
CAPN1,P07384,0,0.839
LMAN2,Q12907,0,0.839
FUT8,Q9BYC5,0.838,0
NGLY1,Q96IV0,0,0.834
ITGB2,P05107,0,0.831
ITGAL,P20701,0,0.829
HLA-C,P30508; Q29960; Q95604; P30510; P30505; Q29963,0.824,0
SEC61A1,P61619,0,0.822
TRBV12-3,P01733,0,0.811
HLA-A,P01892; P04439,0.81,0
CLGN,O14967,0,0.792
DHCR24,Q15392,0,0.785
CTSD,P07339,0,0.784
LDLR,P01130,0,0.784
TMEM38B,Q9NVV0,0,0.784
RHOC,P08134,0,0.784
HSPH1,Q92598,0,0.784
CLN6,Q9NWW5,0,0.785
ERGIC2,Q96RQ1,0,0.782
AP1M1,Q9BXS5,0,0.782
CHI3L2,Q15782,0,0.783
KIR3DL2,P43630,0,0.78
HM13,Q8TCT9,0,0.781
C20orf24,Q9BUV8,0,0.781
RNF5,Q99942,0,0.781
FLOT1,O75955,0.774,0
ATP2A3,Q93084,0,0.772
MESDC2,Q14696,0,0.766
ERGIC3,Q9Y282,0,0.763
KIR3DL1,P43629,0,0.76
VDAC1,P21796,0.755,0
PSMB6,P28072,0.754,0
HLA-B,P30685; P10319; P18465; P30464; P30484; P30491; P30492; P30493; P30495; Q29940,0.753,0
DNAJB11,Q9UBS4,0.958,0.954
SDF2,Q99470,0.856,0.981
SDF2L1,Q9HCN8,0.916,0.909
HYOU1,Q9Y4L1,0.775,0.96
SDF4,Q9BRK5,0.856,0.861
CALU,O43852,0.73,0.964
GANAB,Q14697,0.909,0.732
HSP90B1,P14625,0.672,0.91
RCN2,Q14257,0.352,0.994
PRKCSH,P14314,0.935,0.36
CALR,P27797,0.301,0.989
LSM12,Q3MHD2,0.259,0.842
SUMF2,Q8NBJ7,0,0.991
TXNDC5,Q8NBS9,0,0.986
CHAF1B,Q13112,0,0.959
SERPINH1,P50454,0,0.954
HSPH1,Q92598,0,0.947
GLT25D1,Q8NBJ5,0,0.934
ITGB2,P05107,0,0.919
HSPA7,P48741,0.072,0.835
MAGT1,Q9H0U3,0,0.907
SEH1L,Q96EE3,0,0.904
PSMB6,P28072,0.754,0.15
EDEM3,Q9BZQ6,0,0.898
HSPA6,P17066,0.132,0.762
CLGN,O14967,0,0.887
DNAJC3,Q13217,0,0.88
ITGA4,P13612,0,0.878
MOGS,Q13724,0,0.876
RNF126,Q9BV68,0,0.847
PDIA5,Q14554,0,0.847
TMEM43,Q9BTV4,0,0.845
TOR1A,O14656,0,0.846
HSPA13,P48723,0,0.847
DDX6,P26196,0,0.847
CASC3,O15234,0,0.847
EFEMP1,Q12805,0,0.845
FAM195A,Q9BUT9,0,0.842
TAB2,Q9NYJ8,0,0.839
G3BP2,Q9UN86,0,0.838
TOR1AIP2,Q8NFQ8,0,0.839
PON2,Q15165,0.828,0
SEC61A1,P61619,0,0.822
LDLR,P01130,0,0.82
HLA-A,P04439,0,0.813
ERP44,Q9BS26,0,0.806
PSMD7,P51665,0.802,0
FAM133B,Q5BKY9,0,0.793
P4HA2,O15460,0.794,0
G3BP1,Q13283,0,0.784
PSMD11,O00231,0.781,0
HIST1H3x,P68431,0,0.772
EVL,Q9UI08,0,0.765
ERLEC1,Q96DZ1,0.886,0.856
UGGT1,Q9NYU2,0.769,0.932
LMAN1,P49257,0.876,0.827
SEL1L,Q9UBV2,0.849,0.835
PHB,P35232,0.843,0.835
TIMM13,Q9Y5L4,0.701,0.903
VDAC1,P21796,0.887,0.712
PHB2,Q99623,0.835,0.759
ENDOD1,O94919,0.77,0.815
VDAC2,P45880,0.915,0.633
FLOT1,O75955,0.77,0.771
COX4I1,P13073,0.764,0.64
PDIA3,P30101,0.806,0.441
PTPLAD1,Q9P035,0.199,0.809
PGRMC1,O00264,0.243,0.764
VCP,P55072,0.846,0.111
STOML2,Q9UJZ1,0.893,0
VDAC3,Q9Y277,0.89,0
PRKCSH,P14314,0,0.886
SPAG5,Q96R06,0,0.867
TIMM8A,O60220,0,0.861
LMAN2,Q12907,0.86,0
CKAP4,Q07065,0.855,0
COX6B1,P14854,0.849,0
VAPA,Q9P0L0,0,0.844
SPCS3,P61009,0,0.831
SURF4,O15260,0,0.82
TIMM8B,Q9Y5J9,0,0.813
PIP4K2A,P48426,0,0.81
TMEM38B,Q9NVV0,0,0.81
KIAA0090,Q8N766,0,0.808
PLSCR1,O15162,0.805,0
RHOC,P08134,0,0.807
MMGT1,Q8N4V1,0.797,0
PRDX4,Q13162,0.79,0
RABGAP1,Q9Y3P9,0,0.791
BCAP31,P51572,0,0.789
TXNDC5,Q8NBS9,0.781,0
SPCS2,Q15005,0,0.778
KIAA2013,Q8IYS2,0.778,0
NDUFB10,O96000,0.776,0
ATL3,Q6DD88,0,0.774
COX5A,P20674,0.775,0
FBXO6,Q9NRD1,0.772,0
VTI1A,Q96AJ9,0,0.768
TOMM40,O96008,0.762,0
GLG1,Q92896,0,0.762
NGLY1,Q96IV0,0,0.756
SEC62,Q99442,0,0.751
RER1,O15258,0,0.753
